Name,ID,Number,Club,Position,Nationality,Age,Date of Birth,Height,Weight,Avatar,Goals,Assists
Phil Bardsley,87,26,Burnley,Defender,Scotland,33,1985/06/28,180,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p17997.png,0,0
Kevin Long,88,28,Burnley,Defender,Ireland,28,1990/08/18,188,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41674.png,0,0
Ben Gibson,89,14,Burnley,Defender,England,25,1993/01/15,185,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p83312.png,0,0
Jack Cork,90,4,Burnley,Midfielder,England,29,1989/06/25,183,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40145.png,0,0
Robbie Brady,91,12,Burnley,Midfielder,Ireland,26,1992/01/14,176,71,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p90517.png,0,0
Jeff Hendrick,92,13,Burnley,Midfielder,Ireland,26,1992/01/31,185,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p83314.png,0,0
Steven Defour,93,16,Burnley,Midfielder,Belgium,30,1988/04/15,173,65,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p39847.png,0,0
Johann Gudmundsson,94,7,Burnley,Midfielder,Iceland,28,1990/10/27,186,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p60586.png,0,0
Ashley Westwood,95,18,Burnley,Midfielder,England,28,1990/04/01,175,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p60551.png,0,0
Aaron Lennon,96,25,Burnley,Midfielder,England,31,1987/04/16,165,63,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p17349.png,0,0
Sam Vokes,97,9,Burnley,Forward,Wales,29,1989/10/21,186,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40399.png,0,0
Ashley Barnes,98,10,Burnley,Forward,Austria,29,1989/10/30,186,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p44699.png,0,0
