Name,ID,Number,Club,Position,Nationality,Age,Date of Birth,Height,Weight,Avatar,Goals,Assists
Victor Lindelöf,344,2,Manchester United,Defender,Sweden,24,1994/07/17,187,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p184667.png,0,0
Eric Bailly,345,3,Manchester United,Defender,Cote D'Ivoire,24,1994/04/12,187,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p197365.png,0,0
Phil Jones,346,4,Manchester United,Defender,England,26,1992/02/21,180,71,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p76359.png,0,0
Marcos Rojo,347,16,Manchester United,Defender,Argentina,28,1990/03/20,187,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p58893.png,0,0
Chris Smalling,348,12,Manchester United,Defender,England,29,1989/11/22,194,81,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p55909.png,0,0
Ashley Young,349,18,Manchester United,Defender,England,33,1985/07/09,175,65,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p18892.png,0,0
Luke Shaw,350,23,Manchester United,Defender,England,23,1995/07/12,185,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p106760.png,0,0
Antonio Valencia,351,100,Manchester United,Defender,Ecuador,33,1985/08/04,180,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p20695.png,0,0
Matteo Darmian,352,36,Manchester United,Defender,Italy,29,1989/12/02,182,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40002.png,0,0
Diogo Dalot,353,20,Manchester United,Defender,Portugal,19,1999/03/18,183,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p216051.png,0,0
Paul Pogba,354,6,Manchester United,Midfielder,France,25,1993/03/15,191,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p74208.png,0,0
Juan Mata,355,8,Manchester United,Midfielder,Spain,30,1988/04/28,170,63,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p43670.png,0,0
Jesse Lingard,356,14,Manchester United,Midfielder,England,26,1992/12/15,175,62,https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0
Ander Herrera,357,21,Manchester United,Midfielder,Spain,29,1989/08/14,182,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p59846.png,0,0
Marouane Fellaini,358,27,Manchester United,Midfielder,Belgium,31,1987/11/22,194,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41184.png,0,0
Nemanja Matic,359,31,Manchester United,Midfielder,Serbia,30,1988/08/01,194,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p62398.png,0,0
Scott McTominay,360,39,Manchester United,Midfielder,Scotland,22,1996/12/08,193,88,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p195851.png,0,0
Fred,361,17,Manchester United,Midfielder,Brazil,25,1993/03/05,169,64,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p101582.png,0,0
Andreas Pereira,362,15,Manchester United,Midfielder,Brazil,22,1996/01/01,178,71,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p156689.png,0,0
Tahith Chong,363,44,Manchester United,Midfielder,Netherlands,19,1999/12/04,185,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p222677.png,0,0
Angel Gomes,364,47,Manchester United,Midfielder,England,18,2000/08/31,161,61,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p209041.png,0,0
Alexis Sánchez,365,7,Manchester United,Forward,Chile,30,1988/12/19,169,62,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p37265.png,0,0
Romelu Lukaku,366,9,Manchester United,Forward,Belgium,25,1993/05/13,190,93,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p66749.png,0,0
Anthony Martial,367,11,Manchester United,Forward,France,23,1995/12/05,181,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p148225.png,0,0
Marcus Rashford,368,10,Manchester United,Forward,England,21,1997/10/31,180,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p176297.png,0,0
Robert Elliot,369,1,Newcastle United,Goalkeeper,Ireland,32,1986/04/30,190,94,https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0
Martin Dubravka,370,12,Newcastle United,Goalkeeper,Slovakia,29,1989/01/15,190,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p67089.png,0,0
Karl Darlow,371,26,Newcastle United,Goalkeeper,England,28,1990/10/08,190,88,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p59735.png,0,0
Freddy Woodman,372,41,Newcastle United,Goalkeeper,England,21,1997/03/04,188,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p155503.png,0,0
Ciaran Clark,373,2,Newcastle United,Defender,Ireland,29,1989/09/26,185,88,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p58845.png,0,0
Paul Dummett,374,3,Newcastle United,Defender,Wales,27,1991/09/26,183,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p106618.png,0,0
Jamaal Lascelles,375,6,Newcastle United,Defender,England,25,1993/11/11,188,89,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p101148.png,0,0
Javier Manquillo,376,19,Newcastle United,Defender,Spain,24,1994/05/05,178,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p109528.png,0,0
Florian Lejeune,377,20,Newcastle United,Defender,France,27,1991/05/20,189,89,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p77359.png,0,0
DeAndre Yedlin,378,22,Newcastle United,Defender,United States,25,1993/07/09,172,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p151119.png,0,0
Jamie Sterry,379,42,Crewe Alexandra,Defender,England,23,1995/11/21,180,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p181397.png,0,0
Fabian Schär,380,5,Newcastle United,Defender,Switzerland,27,1991/12/20,188,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p119471.png,0,0
Federico Fernández,381,18,Newcastle United,Defender,Argentina,29,1989/02/21,190,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p57145.png,0,0
Jacob Murphy,382,7,Newcastle United,Midfielder,England,23,1995/02/24,179,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p114243.png,0,0
Jonjo Shelvey,383,8,Newcastle United,Midfielder,England,26,1992/02/27,184,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p50232.png,0,0
Mohamed Diamé,384,10,Newcastle United,Midfielder,Senegal,31,1987/06/14,184,86,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p28147.png,0,0
Matt Ritchie,385,11,Newcastle United,Midfielder,Scotland,29,1989/09/10,172,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p56983.png,0,0
Isaac Hayden,386,14,Newcastle United,Midfielder,England,23,1995/03/22,185,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p153127.png,0,0
Christian Atsu,387,30,Newcastle United,Midfielder,Ghana,26,1992/01/10,165,65,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p104953.png,0,0
Ki Sung-yueng,388,4,Newcastle United,Midfielder,South Korea,29,1989/01/24,189,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p76542.png,0,0
Kenedy,389,15,Newcastle United,Midfielder,Brazil,22,1996/02/08,182,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p167767.png,0,0
Sean Longstaff,390,36,Newcastle United,Midfielder,England,21,1997/10/30,180,65,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p180135.png,0,0
Ayoze Pérez,391,17,Newcastle United,Forward,Spain,25,1993/07/29,178,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p168580.png,0,0
Joselu,392,21,Newcastle United,Forward,Spain,28,1990/03/27,192,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p61316.png,0,0
Yoshinori Muto,393,13,Newcastle United,Forward,Japan,26,1992/07/15,178,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p196118.png,0,0
Salomón Rondón,394,9,Newcastle United,Forward,Venezuela,29,1989/09/16,186,98,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p57134.png,0,0
Alex McCarthy,395,1,Southampton,Goalkeeper,England,29,1989/12/03,193,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p58376.png,0,0
Fraser Forster,396,44,Southampton,Goalkeeper,England,30,1988/03/17,201,93,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40383.png,0,0
Angus Gunn,397,28,Southampton,Goalkeeper,England,22,1996/01/22,196,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p107265.png,0,0
Harry Lewis,398,41,Southampton,Goalkeeper,England,21,1997/12/20,191,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p198044.png,0,0
Cédric Soares,399,2,Southampton,Defender,Portugal,27,1991/08/31,172,67,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p58822.png,0,0
Maya Yoshida,400,3,Southampton,Defender,Japan,30,1988/08/24,189,78,https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0
Jack Stephens,401,5,Southampton,Defender,England,24,1994/01/27,185,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p88900.png,0,0
Wesley Hoedt,402,6,Southampton,Defender,Netherlands,24,1994/03/06,188,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p167075.png,0,0
Ryan Bertrand,403,21,Southampton,Defender,England,29,1989/08/05,179,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40146.png,0,0
Jan Bednarek,404,35,Southampton,Defender,Poland,22,1996/04/12,189,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p171771.png,0,0
Matt Targett,405,33,Southampton,Defender,England,23,1995/09/18,183,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p169359.png,0,0
Yan Valery,406,43,Southampton,Defender,France,19,1999/02/22,180,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p213482.png,0,0
Jannik Vestergaard,407,4,Southampton,Defender,Denmark,26,1992/08/03,199,96,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p93100.png,0,0
Steven Davis,408,8,Southampton,Midfielder,Northern Ireland,33,1985/01/01,173,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p17339.png,0,0
Oriol Romeu,409,14,Southampton,Midfielder,Spain,27,1991/09/24,183,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p78056.png,0,0
James Ward-Prowse,410,16,Southampton,Midfielder,England,24,1994/11/01,173,66,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p101178.png,0,0
Mario Lemina,411,18,Southampton,Midfielder,Gabon,25,1993/09/01,184,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p151086.png,0,0
Nathan Redmond,412,22,Southampton,Midfielder,England,24,1994/03/06,173,69,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p83283.png,0,0
Pierre-Emile Højbjerg,413,23,Southampton,Midfielder,Denmark,23,1995/08/05,185,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p132015.png,0,0
Stuart Armstrong,414,17,Southampton,Midfielder,Scotland,26,1992/03/30,183,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p91047.png,0,0
Mohamed Elyounoussi,415,11,Southampton,Midfielder,Norway,24,1994/08/04,178,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p96787.png,0,0
Shane Long,416,7,Southampton,Forward,Ireland,31,1987/01/22,178,81,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p20452.png,0,0
Charlie Austin,417,10,Southampton,Forward,England,29,1989/07/05,188,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p78356.png,0,0
Manolo Gabbiadini,418,20,Southampton,Forward,Italy,27,1991/11/26,181,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p61548.png,0,0
Sam Gallagher,419,18,Birmingham City,Forward,England,23,1995/09/15,194,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p153371.png,0,0
Danny Ings,420,9,Southampton,Forward,England,26,1992/07/23,178,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p84939.png,0,0
Michael Obafemi,421,61,Southampton,Forward,Ireland,18,2000/07/06,169,71,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p220598.png,0,0
Hugo Lloris,422,1,Tottenham Hotspur,Goalkeeper,France,32,1986/12/26,188,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p37915.png,0,0
Michel Vorm,423,13,Tottenham Hotspur,Goalkeeper,Netherlands,35,1983/10/20,183,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p39215.png,0,0
Paulo Gazzaniga,424,22,Tottenham Hotspur,Goalkeeper,Argentina,26,1992/01/02,196,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p102884.png,0,0
Alfie Whiteman,425,41,Tottenham Hotspur,Goalkeeper,England,20,1998/10/02,189,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p175941.png,0,0
Kieran Trippier,426,2,Tottenham Hotspur,Defender,England,28,1990/09/19,178,71,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p77794.png,0,0
Danny Rose,427,3,Tottenham Hotspur,Defender,England,28,1990/07/02,173,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p38290.png,0,0
Toby Alderweireld,428,4,Tottenham Hotspur,Defender,Belgium,29,1989/03/02,187,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p55605.png,0,0
Jan Vertonghen,429,5,Tottenham Hotspur,Defender,Belgium,31,1987/04/24,189,87,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p39194.png,0,0
Davinson Sánchez,430,6,Tottenham Hotspur,Defender,Colombia,22,1996/06/12,187,81,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p173904.png,0,0
Juan Foyth,431,21,Tottenham Hotspur,Defender,Argentina,20,1998/01/12,179,69,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p234908.png,0,0
Serge Aurier,432,24,Tottenham Hotspur,Defender,Cote D'Ivoire,26,1992/12/24,176,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p80226.png,0,0
Ben Davies,433,33,Tottenham Hotspur,Defender,Wales,25,1993/04/24,181,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p115556.png,0,0
Kyle Walker-Peters,434,16,Tottenham Hotspur,Defender,England,21,1997/04/13,173,62,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p158534.png,0,0
Erik Lamela,435,11,Tottenham Hotspur,Midfielder,Argentina,26,1992/03/04,181,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p62974.png,0,0
Victor Wanyama,436,12,Tottenham Hotspur,Midfielder,Kenya,27,1991/06/25,188,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p54756.png,0,0
Eric Dier,437,15,Tottenham Hotspur,Midfielder,England,24,1994/01/15,188,88,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p93264.png,0,0
Moussa Sissoko,438,17,Tottenham Hotspur,Midfielder,France,29,1989/08/16,187,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p45268.png,0,0
Mousa Dembélé,439,19,Tottenham Hotspur,Midfielder,Belgium,31,1987/07/16,185,87,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p39104.png,0,0
Dele Alli,440,20,Tottenham Hotspur,Midfielder,England,22,1996/04/11,188,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p108823.png,0,0
Christian Eriksen,441,23,Tottenham Hotspur,Midfielder,Denmark,26,1992/02/14,182,76,https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0
Lucas Moura,442,27,Tottenham Hotspur,Midfielder,Brazil,26,1992/08/13,172,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p95715.png,0,0
Harry Winks,443,8,Tottenham Hotspur,Midfielder,England,22,1996/02/02,178,65,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p157668.png,0,0
Georges-Kévin Nkoudou,444,14,Tottenham Hotspur,Midfielder,France,23,1995/02/13,174,68,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p168566.png,0,0
Luke Amos,445,14,Stevenage,Midfielder,England,21,1997/02/23,179,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p168764.png,0,0
Son Heung-Min,446,7,Tottenham Hotspur,Forward,South Korea,26,1992/07/08,183,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p85971.png,0,0
Harry Kane,447,10,Tottenham Hotspur,Forward,England,25,1993/07/28,188,86,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p78830.png,0,0
Fernando Llorente,448,18,Tottenham Hotspur,Forward,Spain,33,1985/02/26,193,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p19760.png,0,0
Vincent Janssen,449,9,Tottenham Hotspur,Forward,Netherlands,24,1994/06/15,180,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p165990.png,0,0
Heurelho Gomes,450,1,Watford,Goalkeeper,Brazil,37,1981/02/15,191,91,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p18656.png,0,0
Pontus Dahlberg,451,30,Watford,Goalkeeper,Sweden,19,1999/01/21,194,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p206882.png,0,0
Ben Foster,452,26,Watford,Goalkeeper,England,35,1983/04/03,193,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p9089.png,0,0
Ben Wilmot,453,24,Watford,Defender,England,19,1999/11/04,188,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p241289.png,0,0
Daryl Janmaat,454,2,Watford,Defender,Netherlands,29,1989/07/22,185,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p52940.png,0,0
Miguel Britos,455,3,Watford,Defender,Uruguay,33,1985/07/17,188,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p52153.png,0,0
Younes Kaboul,456,4,Watford,Defender,France,32,1986/01/04,193,87,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p37742.png,0,0
Sebastian Prödl,457,5,Watford,Defender,Austria,31,1987/06/21,194,92,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41945.png,0,0
Adrian Mariappa,458,6,Watford,Defender,Jamaica,32,1986/10/03,180,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p20145.png,0,0
Craig Cathcart,459,15,Watford,Defender,Northern Ireland,29,1989/02/06,188,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41338.png,0,0
Kiko Femenía,460,21,Watford,Defender,Spain,27,1991/02/02,176,61,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p54484.png,0,0
Marvin Zeegelaar,461,22,Watford,Defender,Netherlands,28,1990/08/12,186,84,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p66247.png,0,0
José Holebas,462,25,Watford,Defender,Greece,34,1984/06/27,184,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40868.png,0,0
Christian Kabasele,463,27,Watford,Defender,Belgium,27,1991/02/24,188,86,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p85624.png,0,0
Marc Navarro,464,23,Watford,Defender,Spain,23,1995/07/02,188,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p220166.png,0,0
Adam Masina,465,11,Watford,Defender,Italy,24,1994/01/02,189,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p155651.png,0,0
Tom Cleverley,466,8,Watford,Midfielder,England,29,1989/08/12,175,67,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p43250.png,0,0
Nathaniel Chalobah,467,14,Watford,Midfielder,England,24,1994/12/12,187,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p89085.png,0,0
Abdoulaye Doucouré,468,16,Watford,Midfielder,France,25,1993/01/01,184,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p121599.png,0,0
Will Hughes,469,19,Watford,Midfielder,England,23,1995/04/17,185,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p108413.png,0,0
Etienne Capoue,470,29,Watford,Midfielder,France,30,1988/07/11,189,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p38439.png,0,0
Roberto Pereyra,471,37,Watford,Midfielder,Argentina,27,1991/01/07,182,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p61566.png,0,0
Ken Sema,472,12,Watford,Midfielder,Sweden,25,1993/09/30,180,69,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p157775.png,0,0
Domingos Quina,473,20,Watford,Midfielder,Portugal,19,1999/11/18,179,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p216058.png,0,0
Troy Deeney,474,9,Watford,Forward,England,30,1988/06/29,183,90,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41725.png,0,0
Andre Gray,475,18,Watford,Forward,England,27,1991/06/26,178,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p73426.png,0,0
Stefano Okaka,476,33,Watford,Forward,Italy,29,1989/08/09,186,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p20046.png,0,0
Gerard Deulofeu,477,7,Watford,Forward,Spain,24,1994/03/13,177,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p94924.png,0,0
Isaac Success,478,10,Watford,Forward,Nigeria,22,1996/01/07,186,86,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p173514.png,0,0
Adalberto Peñaranda,479,11,Udinese,Forward,Venezuela,21,1997/05/31,185,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p194401.png,0,0
Adrián,480,13,West Ham United,Goalkeeper,Spain,31,1987/01/03,190,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p60706.png,0,0
Lukasz Fabianski,481,1,West Ham United,Goalkeeper,Poland,33,1985/04/18,190,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p37096.png,0,0
Winston Reid,482,2,West Ham United,Defender,New Zealand,30,1988/07/03,190,87,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p48717.png,0,0
Aaron Cresswell,483,3,West Ham United,Defender,England,29,1989/12/15,170,66,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p55459.png,0,0
Pablo Zabaleta,484,5,West Ham United,Defender,Argentina,33,1985/01/16,176,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p20658.png,0,0
Angelo Ogbonna,485,21,West Ham United,Defender,Italy,30,1988/05/23,191,86,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40669.png,0,0
Arthur Masuaku,486,26,West Ham United,Defender,The Democratic Republic Of Congo,25,1993/11/07,179,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p105717.png,0,0
Ryan Fredericks,487,24,West Ham United,Defender,England,26,1992/10/10,181,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p81012.png,0,0
Issa Diop,488,23,West Ham United,Defender,France,21,1997/01/09,194,92,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p219924.png,0,0
Reece Oxford,489,35,West Ham United,Defender,England,20,1998/12/16,191,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p173792.png,0,0
Fabián Balbuena,490,4,West Ham United,Defender,Paraguay,27,1991/08/23,188,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p166640.png,0,0
Manuel Lanzini,491,10,West Ham United,Midfielder,Argentina,25,1993/02/15,167,59,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p86934.png,0,0
Pedro Obiang,492,14,West Ham United,Midfielder,Equatorial Guinea,26,1992/03/27,185,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p59779.png,0,0
Mark Noble,493,16,West Ham United,Midfielder,England,31,1987/05/08,180,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p18073.png,0,0
Michail Antonio,494,30,West Ham United,Midfielder,England,28,1990/03/28,180,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p57531.png,0,0
Declan Rice,495,41,West Ham United,Midfielder,Ireland,19,1999/01/14,185,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p204480.png,0,0
Robert Snodgrass,496,7,Aston Villa,Midfielder,Scotland,31,1987/09/07,182,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p18987.png,0,0
Jack Wilshere,497,19,West Ham United,Midfielder,England,26,1992/01/01,172,68,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p54102.png,0,0
Felipe Anderson,498,8,West Ham United,Midfielder,Brazil,25,1993/04/15,175,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p101537.png,0,0
Nathan Holland,499,37,West Ham United,Midfielder,England,20,1998/06/19,178,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p183487.png,0,0
Carlos Sánchez,500,15,West Ham United,Midfielder,Colombia,32,1986/02/06,182,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p42824.png,0,0
Grady Diangana,501,45,West Ham United,Midfielder,England,20,1998/04/19,180,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p179830.png,0,0
Marko Arnautovic,502,7,West Ham United,Forward,Austria,29,1989/04/19,192,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41464.png,0,0
