Mat Ryan,53,1,3,Goalkeeper,Australia,26,1992-04-08,184,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p131897.png,0,0
Jason Steele,54,23,3,Goalkeeper,England,28,1990-08-18,188,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p49262.png,0,0
David Button,55,27,3,Goalkeeper,England,29,1989-02-27,191,87,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p50093.png,0,0
Bruno,56,2,3,Defender,Spain,38,1980-10-01,181,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p11352.png,0,0
Gaëtan Bong,57,3,3,Defender,Cameroon,30,1988-04-25,187,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p42748.png,0,0
Lewis Dunk,58,5,3,Defender,England,27,1991-11-21,192,88,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p83299.png,0,0
Ezequiel Schelotto,59,21,3,Defender,Italy,29,1989-05-23,187,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p74375.png,0,0
Shane Duffy,60,4,3,Defender,Ireland,26,1992-01-01,193,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p61933.png,0,0
Markus Suttner,61,29,3,Defender,Austria,31,1987-04-16,179,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p43808.png,0,0
Leon Balogun,62,14,3,Defender,Nigeria,30,1988-06-28,190,88,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p52484.png,0,0
Bernardo,63,30,3,Defender,Brazil,23,1995-05-14,186,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p209362.png,0,0
Martín Montoya,64,22,3,Defender,Spain,27,1991-04-14,175,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p86153.png,0,0
Dale Stephens,65,6,3,Midfielder,England,29,1989-06-12,169,71,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40845.png,0,0
Beram Kayal,66,7,3,Midfielder,Israel,30,1988-05-02,178,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p38490.png,0,0
Anthony Knockaert,67,11,3,Midfielder,France,27,1991-11-20,172,69,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p83543.png,0,0
Pascal Groß,68,13,3,Midfielder,Germany,27,1991-06-15,181,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p60307.png,0,0
Solly March,69,20,3,Midfielder,England,24,1994-07-20,180,88,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p109345.png,0,0
Davy Pröpper,70,24,3,Midfielder,Netherlands,27,1991-09-02,185,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p66242.png,0,0
Yves Bissouma,71,8,3,Midfielder,Mali,22,1996-08-30,182,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p227127.png,0,0
Glenn Murray,72,17,3,Forward,England,35,1983-09-25,183,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p20529.png,0,0
José Izquierdo,73,19,3,Forward,Colombia,26,1992-07-07,171,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p167473.png,0,0
Jürgen Locadia,74,9,3,Forward,Netherlands,25,1993-11-07,185,87,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p106757.png,0,0
Florin Andone,75,10,3,Forward,Romania,25,1993-04-11,180,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p93284.png,0,0
